DetectedAt: 2025-05-18 12:41:00.224 | Symbol: AUDUSD | TF: 15m | Type: supply | ZoneStartTime: 2025-05-16T14:15:00Z | ZoneHigh: 0.641250 | ZoneLow: 0.640532 | RawStartIdx: 57 | Method: (i=57) 50% Candle → Bearish Big Bar (316%, 88% body, Confirmed), 0.0% ext
DetectedAt: 2025-05-18 12:41:00.226 | Symbol: AUDNZD | TF: 5m | Type: demand | ZoneStartTime: 2025-05-16T00:55:00Z | ZoneHigh: 1.090678 | ZoneLow: 1.090070 | RawStartIdx: 11 | Method: (i=11) 50% Candle → Bullish Big Bar (219%, 79% body, Confirmed), 0.02% ext
DetectedAt: 2025-05-18 12:41:00.226 | Symbol: AUDNZD | TF: 5m | Type: demand | ZoneStartTime: 2025-05-16T13:50:00Z | ZoneHigh: 1.087908 | ZoneLow: 1.087460 | RawStartIdx: 166 | Method: (i=166) 50% Candle → Bullish Big Bar (227%, 76% body, Confirmed), 0.02% ext
DetectedAt: 2025-05-18 12:41:00.229 | Symbol: AUDNZD_SB | TF: 5m | Type: demand | ZoneStartTime: 2025-05-16T00:55:00Z | ZoneHigh: 1.090678 | ZoneLow: 1.090070 | RawStartIdx: 11 | Method: (i=11) 50% Candle → Bullish Big Bar (219%, 79% body, Confirmed), 0.02% ext
DetectedAt: 2025-05-18 12:41:00.229 | Symbol: AUDNZD_SB | TF: 5m | Type: demand | ZoneStartTime: 2025-05-16T13:50:00Z | ZoneHigh: 1.087908 | ZoneLow: 1.087460 | RawStartIdx: 166 | Method: (i=166) 50% Candle → Bullish Big Bar (227%, 76% body, Confirmed), 0.02% ext
DetectedAt: 2025-05-18 12:41:00.233 | Symbol: AUDNZD_SB | TF: 15m | Type: demand | ZoneStartTime: 2025-05-16T00:45:00Z | ZoneHigh: 1.090768 | ZoneLow: 1.089900 | RawStartIdx: 3 | Method: (i=3) 50% Candle → Bullish Big Bar (226%, 84% body, Confirmed), 0.02% ext
DetectedAt: 2025-05-18 12:41:00.234 | Symbol: AUDJPY_SB | TF: 30m | Type: demand | ZoneStartTime: 2025-05-16T02:00:00Z | ZoneHigh: 93.102617 | ZoneLow: 92.948000 | RawStartIdx: 4 | Method: (i=4) 50% Candle → Bullish Big Bar (254%, 92% body, Confirmed), 0.02% ext
DetectedAt: 2025-05-18 12:41:00.234 | Symbol: AUDCAD_SB | TF: 15m | Type: supply | ZoneStartTime: 2025-05-16T14:15:00Z | ZoneHigh: 0.895600 | ZoneLow: 0.894631 | RawStartIdx: 57 | Method: (i=57) 50% Candle → Bearish Big Bar (275%, 84% body, Confirmed), 0.0% ext
DetectedAt: 2025-05-18 12:41:00.235 | Symbol: AUDCAD_SB | TF: 15m | Type: demand | ZoneStartTime: 2025-05-16T02:15:00Z | ZoneHigh: 0.894269 | ZoneLow: 0.893680 | RawStartIdx: 9 | Method: (i=9) 50% Candle → Bullish Big Bar (238%, 92% body, Confirmed), 0.02% ext
DetectedAt: 2025-05-18 12:41:00.236 | Symbol: AUDNZD | TF: 15m | Type: demand | ZoneStartTime: 2025-05-16T00:45:00Z | ZoneHigh: 1.090768 | ZoneLow: 1.089900 | RawStartIdx: 3 | Method: (i=3) 50% Candle → Bullish Big Bar (226%, 84% body, Confirmed), 0.02% ext
DetectedAt: 2025-05-18 12:41:00.237 | Symbol: AUDJPY_SB | TF: 15m | Type: supply | ZoneStartTime: 2025-05-16T00:15:00Z | ZoneHigh: 93.148000 | ZoneLow: 93.027391 | RawStartIdx: 1 | Method: (i=1) 50% Candle → Bearish Big Bar (235%, 81% body, Confirmed), 0.0% ext
