Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
AUDJPY_SB,30m,0.10,5.0,2.0,54.55%,3.00,40.00,22,39.99999999962256
AUDJPY_SB,30m,0.10,10.0,2.0,50.00%,5.00,88.00,22,87.99999999979491
AUDJPY_SB,30m,0.10,10.0,5.0,50.00%,2.00,55.00,22,55.00000000026262
AUDJPY_SB,30m,0.10,15.0,2.0,50.00%,7.50,143.00,22,142.99999999849433
AUDJPY_SB,30m,0.10,15.0,5.0,50.00%,3.00,110.00,22,109.99999999896204
AUDJPY_SB,30m,0.10,15.0,10.0,50.00%,1.50,55.00,22,54.99999999869942
AUDJPY_SB,30m,0.10,20.0,2.0,50.00%,10.00,198.00,22,197.99999999875695
AUDJPY_SB,30m,0.10,20.0,5.0,50.00%,4.00,165.00,22,164.99999999922466
AUDJPY_SB,30m,0.10,20.0,10.0,50.00%,2.00,110.00,22,109.99999999896204
AUDJPY_SB,30m,0.10,20.0,18.0,50.00%,1.11,22.00,22,21.99999999916713
AUDJPY_SB,30m,0.10,36.7,2.0,50.00%,18.35,381.70,22,381.69999999922766
AUDJPY_SB,30m,0.10,36.7,5.0,50.00%,7.34,348.70,22,348.69999999969536
AUDJPY_SB,30m,0.10,36.7,10.0,50.00%,3.67,293.70,22,293.69999999943275
AUDJPY_SB,30m,0.10,36.7,18.0,50.00%,2.04,205.70,22,205.69999999963784
AUDJPY_SB,30m,0.10,36.7,34.0,50.00%,1.08,29.70,22,29.70000000004802
AUDJPY_SB,30m,0.10,68.3,2.0,50.00%,34.15,729.30,22,729.2999999985739
AUDJPY_SB,30m,0.10,68.3,5.0,50.00%,13.66,696.30,22,696.2999999990416
AUDJPY_SB,30m,0.10,68.3,10.0,50.00%,6.83,641.30,22,641.299999998779
AUDJPY_SB,30m,0.10,68.3,18.0,50.00%,3.79,553.30,22,553.299999998984
AUDJPY_SB,30m,0.10,68.3,34.0,50.00%,2.01,377.30,22,377.29999999939423
AUDJPY_SB,30m,0.10,68.3,50.0,50.00%,1.37,201.30,22,201.2999999998044
AUDJPY_SB,30m,0.10,100.0,2.0,50.00%,50.00,1078.00,22,1077.9999999998324
AUDJPY_SB,30m,0.10,100.0,5.0,50.00%,20.00,1045.00,22,1045.0000000003001
AUDJPY_SB,30m,0.10,100.0,10.0,50.00%,10.00,990.00,22,990.0000000000375
AUDJPY_SB,30m,0.10,100.0,18.0,50.00%,5.56,902.00,22,902.0000000002426
AUDJPY_SB,30m,0.10,100.0,34.0,50.00%,2.94,726.00,22,726.0000000006528
AUDJPY_SB,30m,0.10,100.0,50.0,50.00%,2.00,550.00,22,550.000000001063
AUDJPY_SB,15m,0.10,5.0,2.0,71.43%,6.25,189.00,63,188.99999999987926
AUDJPY_SB,15m,0.10,10.0,2.0,71.43%,12.50,414.00,63,414.0000000009536
AUDJPY_SB,15m,0.10,10.0,5.0,71.43%,5.00,360.00,63,360.00000000171894
AUDJPY_SB,15m,0.10,15.0,2.0,71.43%,18.75,639.00,63,638.9999999956331
AUDJPY_SB,15m,0.10,15.0,5.0,71.43%,7.50,585.00,63,584.9999999963984
AUDJPY_SB,15m,0.10,15.0,10.0,71.43%,3.75,495.00,63,494.99999999596866
AUDJPY_SB,15m,0.10,20.0,2.0,71.43%,25.00,864.00,63,863.9999999967074
AUDJPY_SB,15m,0.10,20.0,5.0,71.43%,10.00,810.00,63,809.9999999974727
AUDJPY_SB,15m,0.10,20.0,10.0,71.43%,5.00,720.00,63,719.999999997043
AUDJPY_SB,15m,0.10,20.0,18.0,71.43%,2.78,576.00,63,575.9999999973786
AUDJPY_SB,15m,0.10,36.7,2.0,71.43%,45.87,1615.50,63,1615.499999998633
AUDJPY_SB,15m,0.10,36.7,5.0,71.43%,18.35,1561.50,63,1561.4999999993984
AUDJPY_SB,15m,0.10,36.7,10.0,71.43%,9.17,1471.50,63,1471.4999999989686
AUDJPY_SB,15m,0.10,36.7,18.0,71.43%,5.10,1327.50,63,1327.4999999993042
AUDJPY_SB,15m,0.10,36.7,34.0,71.43%,2.70,1039.50,63,1039.4999999999754
AUDJPY_SB,15m,0.10,68.3,2.0,69.84%,79.08,2967.20,63,2967.1999999959526
