Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
NZDJPY_SB,30m,0.10,5.0,2.0,65.00%,4.64,51.00,20,0.5099999999984561
NZDJPY_SB,30m,0.10,10.0,2.0,65.00%,9.29,116.00,20,1.1600000000015598
NZDJPY_SB,30m,0.10,10.0,5.0,65.00%,3.71,95.00,20,0.9500000000045361
NZDJPY_SB,30m,0.10,15.0,2.0,65.00%,13.93,181.00,20,1.8099999999861893
NZDJPY_SB,30m,0.10,15.0,5.0,65.00%,5.57,160.00,20,1.5999999999891656
NZDJPY_SB,30m,0.10,15.0,10.0,65.00%,2.79,125.00,20,1.2499999999874944
NZDJPY_SB,30m,0.10,20.0,2.0,65.00%,18.57,246.00,20,2.459999999989293
NZDJPY_SB,30m,0.10,20.0,5.0,65.00%,7.43,225.00,20,2.2499999999922693
NZDJPY_SB,30m,0.10,20.0,10.0,65.00%,3.71,190.00,20,1.899999999990598
NZDJPY_SB,30m,0.10,20.0,18.0,65.00%,2.06,134.00,20,1.3399999999919032
NZDJPY_SB,30m,0.10,36.7,2.0,65.00%,34.08,463.10,20,4.630999999994856
NZDJPY_SB,30m,0.10,36.7,5.0,65.00%,13.63,442.10,20,4.420999999997832
NZDJPY_SB,30m,0.10,36.7,10.0,65.00%,6.82,407.10,20,4.070999999996161
NZDJPY_SB,30m,0.10,36.7,18.0,65.00%,3.79,351.10,20,3.510999999997466
NZDJPY_SB,30m,0.10,36.7,34.0,65.00%,2.00,239.10,20,2.3910000000000764
NZDJPY_SB,30m,0.10,68.3,2.0,60.00%,51.22,803.60,20,8.035999999987098
NZDJPY_SB,30m,0.10,68.3,5.0,60.00%,20.49,779.60,20,7.795999999990499
NZDJPY_SB,30m,0.10,68.3,10.0,60.00%,10.24,739.60,20,7.3959999999885895
NZDJPY_SB,30m,0.10,68.3,18.0,60.00%,5.69,675.60,20,6.755999999990081
NZDJPY_SB,30m,0.10,68.3,34.0,60.00%,3.01,547.60,20,5.475999999993064
NZDJPY_SB,30m,0.10,68.3,50.0,60.00%,2.05,419.60,20,4.195999999996047
NZDJPY_SB,30m,0.10,100.0,2.0,60.00%,75.00,1184.00,20,11.840000000000828
NZDJPY_SB,30m,0.10,100.0,5.0,60.00%,30.00,1160.00,20,11.60000000000423
NZDJPY_SB,30m,0.10,100.0,10.0,60.00%,15.00,1120.00,20,11.20000000000232
NZDJPY_SB,30m,0.10,100.0,18.0,60.00%,8.33,1056.00,20,10.56000000000381
NZDJPY_SB,30m,0.10,100.0,34.0,60.00%,4.41,928.00,20,9.280000000006794
NZDJPY_SB,30m,0.10,100.0,50.0,60.00%,3.00,800.00,20,8.000000000009777
NZDJPY_SB,1h,0.10,5.0,2.0,69.23%,5.62,37.00,13,0.36999999999949296
NZDJPY_SB,1h,0.10,10.0,2.0,69.23%,11.25,82.00,13,0.8200000000016416
NZDJPY_SB,1h,0.10,10.0,5.0,69.23%,4.50,70.00,13,0.7000000000033424
NZDJPY_SB,1h,0.10,15.0,2.0,69.23%,16.87,127.00,13,1.2699999999910005
